,,,,accelerometer,gyro,mag,d6t,1,2,3,4
accelerometer,2708.721,,,2708.721,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,2709.015,,,2709.015,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,2719.435,,,2719.435,FALSE,FALSE,FALSE,1,2,3,4
D6T,2763.879,,,FALSE,FALSE,FALSE,2763.879,1,2,3,4
magnetometer,2802.476,,,FALSE,FALSE,2802.476,FALSE,1,2,3,4
accelerometer,2834.367,,,2834.367,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,2834.663,,,2834.663,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,2845.697,,,FALSE,FALSE,2845.697,FALSE,1,2,3,4
accelerometer,2895.129,,,2895.129,FALSE,FALSE,FALSE,1,2,3,4
D6T,2895.13,,,FALSE,FALSE,FALSE,2895.13,1,2,3,4
accelerometer,2928.838,,,2928.838,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,2949.477,,,2949.477,FALSE,FALSE,FALSE,1,2,3,4
D6T,2960.09,,,FALSE,FALSE,FALSE,2960.09,1,2,3,4
gyroscope,2966.349,,,FALSE,2966.349,FALSE,FALSE,1,2,3,4
magnetometer,2993.456,,,FALSE,FALSE,2993.456,FALSE,1,2,3,4
accelerometer,3010.543,,,3010.543,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3113.842,,,3113.842,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,3136.421,,,FALSE,FALSE,3136.421,FALSE,1,2,3,4
gyroscope,3152.779,,,FALSE,3152.779,FALSE,FALSE,1,2,3,4
accelerometer,3191.276,,,3191.276,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,3219.412,,,FALSE,FALSE,3219.412,FALSE,1,2,3,4
gyroscope,3230.247,,,FALSE,3230.247,FALSE,FALSE,1,2,3,4
accelerometer,3268.143,,,3268.143,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,3272.787,,,FALSE,FALSE,3272.787,FALSE,1,2,3,4
accelerometer,3283.902,,,3283.902,FALSE,FALSE,FALSE,1,2,3,4
D6T,3283.902,,,FALSE,FALSE,FALSE,3283.902,1,2,3,4
magnetometer,3289.826,,,FALSE,FALSE,3289.826,FALSE,1,2,3,4
magnetometer,3345.965,,,FALSE,FALSE,3345.965,FALSE,1,2,3,4
gyroscope,3412.859,,,FALSE,3412.859,FALSE,FALSE,1,2,3,4
accelerometer,3422.638,,,3422.638,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3423.229,,,3423.229,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3428.768,,,3428.768,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3544.005,,,3544.005,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3544.62,,,3544.62,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,3605.218,,,FALSE,3605.218,FALSE,FALSE,1,2,3,4
D6T,3622.243,,,FALSE,FALSE,FALSE,3622.243,1,2,3,4
magnetometer,3649.363,,,FALSE,FALSE,3649.363,FALSE,1,2,3,4
accelerometer,3650.259,,,3650.259,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3671.468,,,3671.468,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,3672.677,,,FALSE,FALSE,3672.677,FALSE,1,2,3,4
gyroscope,3682.167,,,FALSE,3682.167,FALSE,FALSE,1,2,3,4
gyroscope,3698.788,,,FALSE,3698.788,FALSE,FALSE,1,2,3,4
accelerometer,3699.139,,,3699.139,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3710.497,,,3710.497,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,3731.954,,,FALSE,FALSE,3731.954,FALSE,1,2,3,4
D6T,3804.648,,,FALSE,FALSE,FALSE,3804.648,1,2,3,4
accelerometer,3837.348,,,3837.348,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3858.898,,,3858.898,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3892.372,,,3892.372,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,3897.992,,,3897.992,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,4001.338,,,FALSE,FALSE,4001.338,FALSE,1,2,3,4
gyroscope,4007.15,,,FALSE,4007.15,FALSE,FALSE,1,2,3,4
gyroscope,4018.416,,,FALSE,4018.416,FALSE,FALSE,1,2,3,4
D6T,4034.772,,,FALSE,FALSE,FALSE,4034.772,1,2,3,4
D6T,4073.154,,,FALSE,FALSE,FALSE,4073.154,1,2,3,4
accelerometer,4165.664,,,4165.664,FALSE,FALSE,FALSE,1,2,3,4
accelerometer,4176.985,,,4176.985,FALSE,FALSE,FALSE,1,2,3,4
gyroscope,4177.26,,,FALSE,4177.26,FALSE,FALSE,1,2,3,4
gyroscope,4177.54,,,FALSE,4177.54,FALSE,FALSE,1,2,3,4
gyroscope,4193.033,,,FALSE,4193.033,FALSE,FALSE,1,2,3,4
D6T,4199.268,,,FALSE,FALSE,FALSE,4199.268,1,2,3,4
magnetometer,4221.182,,,FALSE,FALSE,4221.182,FALSE,1,2,3,4
accelerometer,4222.07,,,4222.07,FALSE,FALSE,FALSE,1,2,3,4
D6T,4243.474,,,FALSE,FALSE,FALSE,4243.474,1,2,3,4
D6T,4264.13,,,FALSE,FALSE,FALSE,4264.13,1,2,3,4
accelerometer,4281.049,,,4281.049,FALSE,FALSE,FALSE,1,2,3,4
D6T,4291.402,,,FALSE,FALSE,FALSE,4291.402,1,2,3,4
magnetometer,4297.791,,,FALSE,FALSE,4297.791,FALSE,1,2,3,4
D6T,4313.576,,,FALSE,FALSE,FALSE,4313.576,1,2,3,4
accelerometer,4346.694,,,4346.694,FALSE,FALSE,FALSE,1,2,3,4
magnetometer,4357.806,,,FALSE,FALSE,4357.806,FALSE,1,2,3,4
D6T,4369.4,,,FALSE,FALSE,FALSE,4369.4,1,2,3,4
