:0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,;
:0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,;
:2.0,11.77,24.5,11.921,23.85,11.839,998.847,11.794,77.711,11.817,9.938271,11.758,1.0,1.0,100.0,1.0,1.0,0.491,-0.156,120.607,-1.0,-1.0,18.5,302.523,90.94,46.847,18.4,97.99,-0.735,332.404,18.5,56.287,9.948,321.36,18.4,23.267,20.79,288.748,18.4,194.442,18.512,126.628,18.6,116.999,29.607,115.16,18.6,69.806,41.196,77.726,18.4,34.521,53.509,117.708,18.5,239.034,50.875,83.479,18.6,139.558,63.961,64.776,18.5,84.772,78.337,54.995,18.6,46.35,94.469,151.397,18.4,302.523,90.94,46.847,18.6,167.236,108.91,24.046,18.6,101.708,130.004,88.31,18.5,59.001,155.548,166.419,;
:2.0,12.023,24.5,12.176,23.83,12.092,998.847,12.047,77.661,12.07,1.4065667,12.011,1.0,1.0,100.0,1.0,1.0,0.549,-0.17,120.489,-1.0,-1.0,18.5,290.895,90.407,47.648,18.4,95.367,-1.083,370.109,18.5,54.368,9.582,359.951,18.5,21.636,20.4,330.143,18.4,188.73,18.165,128.184,18.6,113.908,29.232,116.497,18.6,67.683,40.786,78.459,18.4,32.804,53.054,120.062,18.6,231.184,50.472,84.236,18.6,135.805,63.506,65.086,18.6,82.375,77.816,56.389,18.6,44.513,93.859,154.112,18.4,290.895,90.407,47.648,18.6,162.517,108.274,24.271,18.5,98.94,129.226,89.471,18.6,57.0,154.564,169.043,;
:3.0,12.279,24.5,12.431,23.84,12.349,998.85,12.303,77.588,12.326,0.21920538,12.267,1.0,1.0,100.0,1.0,1.0,0.572,-0.174,120.717,-1.0,-1.0,18.6,306.763,94.196,47.941,18.4,97.906,1.784,383.605,18.5,56.342,12.765,373.709,18.5,23.394,23.961,344.718,18.4,194.741,20.757,128.828,18.6,117.394,32.228,117.063,18.7,70.215,44.27,78.797,18.5,34.944,57.144,120.909,18.6,240.665,53.395,84.58,18.6,140.624,67.06,65.276,18.6,85.617,82.176,56.866,18.7,47.104,99.283,155.119,18.4,306.763,94.196,47.941,18.6,169.307,113.184,24.383,18.6,103.118,135.701,89.94,18.6,60.143,163.33,170.051,;
:3.0,12.534,0.0,0.0,23.87,12.603,998.826,12.558,77.877,12.581,9.889537,12.522,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,;
:3.0,16.78,24.4,16.925,23.78,16.849,998.84,16.802,78.109,16.825,9.73987,16.773,1.0,1.0,100.0,1.0,1.0,0.689,-0.206,120.733,-1.0,-1.0,18.5,316.117,98.661,48.76,18.4,98.543,5.271,455.114,18.4,57.011,16.629,446.562,18.5,24.139,28.287,421.689,18.4,196.767,23.866,130.547,18.6,118.77,35.824,118.553,18.6,71.377,48.469,79.649,18.5,36.067,62.104,123.499,18.6,245.15,56.851,85.361,18.6,143.066,71.297,65.565,18.6,87.406,87.436,58.413,18.6,48.666,105.923,158.139,18.4,316.117,98.661,48.76,18.6,173.379,119.078,24.701,18.5,105.741,143.65,91.22,18.6,62.237,174.38,172.965,;
:3.0,17.018,24.4,17.164,23.83,17.088,998.873,17.041,78.242,17.063,10.04179,17.012,1.0,1.0,100.0,1.0,1.0,0.743,-0.218,121.003,-1.0,-1.0,18.5,333.195,103.421,48.959,18.4,100.499,8.957,498.618,18.5,58.665,20.698,490.774,18.4,25.764,32.839,468.027,18.4,201.872,27.165,130.93,18.6,121.735,39.625,118.875,18.6,73.626,52.906,79.813,18.5,38.098,67.366,124.254,18.5,254.224,60.512,85.456,18.6,147.52,75.792,65.508,18.6,90.439,93.05,58.906,18.6,51.191,113.091,158.994,18.4,333.195,103.421,48.959,18.6,180.163,125.424,24.787,18.6,109.85,152.342,91.518,18.6,65.385,186.743,173.738,;
:3.0,17.258,24.4,17.403,23.86,17.327,998.834,17.28,78.341,17.303,9.73987,17.252,1.0,1.0,100.0,1.0,1.0,0.799,-0.232,120.977,-1.0,-1.0,18.5,347.399,106.891,49.332,18.4,102.365,11.309,547.05,18.5,60.117,23.359,539.808,18.4,27.044,35.88,518.858,18.4,206.477,29.348,131.828,18.6,124.395,42.196,119.671,18.6,75.548,55.964,80.311,18.5,39.7,71.05,125.414,18.5,261.976,63.076,85.912,18.6,151.347,78.983,65.754,18.6,92.974,97.08,59.564,18.7,53.183,118.288,160.394,18.4,347.399,106.891,49.332,18.6,185.817,130.07,24.974,18.6,113.224,158.744,92.169,18.6,67.865,195.933,175.139,;
:3.0,17.497,24.5,17.643,23.87,17.566,998.85,17.519,77.626,17.542,9.912792,17.491,1.0,1.0,100.0,1.0,1.0,0.86,-0.247,120.43,-1.0,-1.0,18.6,357.578,109.655,49.768,18.5,103.373,13.305,672.903,18.5,60.971,25.61,666.932,18.5,27.867,38.454,649.732,18.4,209.186,31.151,132.863,18.7,125.992,44.325,120.582,18.7,76.756,58.507,80.87,18.6,40.772,74.137,126.91,18.6,267.051,65.142,86.356,18.6,153.831,81.583,65.915,18.7,94.655,100.412,60.459,18.7,54.558,122.66,162.177,18.4,357.578,109.655,49.768,18.7,189.732,133.861,25.213,18.6,115.563,164.105,92.929,18.7,69.625,203.864,176.867,;
